trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
122,False,"{'a': 0.2, 'e': 0.2981972794298874}",20,8,-24.03543235340547,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
123,False,"{'a': 0.2, 'e': 0.2952301669240142}",20,0,-95.87928958328898,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
124,False,"{'a': 0.2, 'e': 0.2922925776808594}",20,0,14.470684739575633,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
125,False,"{'a': 0.2, 'e': 0.2893842179390506}",20,4,-37.26747308021067,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
126,False,"{'a': 0.2, 'e': 0.2865047968601901}",25,0,-1.3891101230537009,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
127,False,"{'a': 0.2, 'e': 0.2836540264997704}",20,14,11.6909975419074,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.2, 'e': 0.2808316217783798}",20,0,7.650767083700332,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
129,False,"{'a': 0.2, 'e': 0.27803730045319414}",20,9,-21.772785277672746,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
130,False,"{'a': 0.2, 'e': 0.27527078308975234}",20,6,8.84812066222739,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.2, 'e': 0.2725317930340126}",25,10,-10.57692220822853,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
132,False,"{'a': 0.2, 'e': 0.2698200563846868}",25,3,2.566263727646411,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.2, 'e': 0.26713530196585034}",20,0,11.008169523725874,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
134,False,"{'a': 0.2, 'e': 0.26447726129982396}",25,0,15.162291078154983,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
135,False,"{'a': 0.2, 'e': 0.261845668580326}",30,18,-0.7158288994252229,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.2, 'e': 0.2592402606458915}",25,8,-58.02430670012812,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 2}",1
137,False,"{'a': 0.2, 'e': 0.2566607769535559}",30,12,-32.72942367571093,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
138,False,"{'a': 0.2, 'e': 0.25410695955280027}",25,0,-49.63477106058807,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
139,False,"{'a': 0.2, 'e': 0.25157855305975646}",20,0,2.6061015837892314,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
